name,code,price_current,price_old,discount_pct,discount_amount,availability,installment_6m,installment_12m,installment_18m,product_type,url,image_url,page
Samsung Galaxy Tab S11 Ultra (SM-X936) 12/256 GB Gray,AEOSWM9,2569.99,3019.99,-15%,-450 AZN,Stokda var - Məhdud sayda,428.33,214.17,142.78,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s11-ultra-sm-x936-12-256-gb-gray,https://storage.irshad.az/products/resized/ATyblQH4VRy7mIT7ZVTgyUipoSeHcxxz6U1BJumf.png,1
"HONOR Pad X9 11.5"" 128 GB Space Gray",87219,439.99,549.99,-20%,-110 AZN,Stokda var,73.33,36.67,24.44,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9-115-128gb-space-gray,https://storage.irshad.az/products/resized/u7NGZETr9Re2ZquVqaMTpQcycRbY3NouxQvufxtL.webp,1
Samsung Galaxy Tab S9 5G 128 GB (SM-X716) Beige,87902,1769.99,1999.99,-12%,-230 AZN,Stokda var - Məhdud sayda,295,147.50,98.33,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s9-5g-128-gb-sm-x716-beige,https://storage.irshad.az/products/resized/bDlJwbH2JG9ZufiWaGN5wfMdl9TWRosHgrl9BpIg.webp,1
"HONOR Pad X9 LTE 11.5"" 64 GB Space Gray",88175,369.99,429.99,-14%,-60 AZN,Stokda var,61.67,30.83,20.56,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9-lte-115-64-gb-space-gray,https://storage.irshad.az/products/resized/49mlLay3l7dOggPQO0ZLkpo25ZtpSIZBdkuJE8Zq.webp,1
"HONOR Pad X9 LTE 11.5"" 128 GB Space Gray",88214,519.99,569.99,-9%,-50 AZN,Stokda var - Məhdud sayda,86.67,43.33,28.89,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9-lte-115-128-gb-space-gray,https://storage.irshad.az/products/resized/qBw4UQT9IL7CVBHCSCx7cAumt91m4az5N13ANxE7.webp,1
Samsung Galaxy Tab S9 FE (SM-X516) 5G 128 GB Light Green,89009,999.99,1099.99,-9%,-100 AZN,Stokda var,166.67,83.33,55.56,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s9-fe-sm-x516-5g-128-gb-light-green,https://storage.irshad.az/products/resized/6L1f1BnsASgCsPmqpfXblsVWV8TWykDgYQwdtI5t.webp,1
Samsung Galaxy Tab A9 (SM-X110) 64 GB Gray,89219,239.99,299.99,-20%,-60 AZN,Stokda var,40,20,13.33,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a9-sm-x110-64-gb-gray,https://storage.irshad.az/products/resized/7edOj8jjDYKg4rRHptvv5tP4c2egZLB9mwYQhnZV.webp,1
HONOR Pad 9 8 GB / 128 GB Space Gray,93151,499.99,599.99,-17%,-100 AZN,Stokda var,83.33,41.67,27.78,Planşet,https://irshad.az/az/mehsullar/honor-pad-9-8-gb-128-gb-space-gray,https://storage.irshad.az/products/resized/hQetbDPAoQKJIfufuk1I7PFzH9QDoVbNczKCgEQd.webp,1
Samsung Galaxy Tab A9+ (SM-X210) 128 GB Silver Outlet,89368,429.99,,,,Stokda var - Məhdud sayda,71.67,35.83,23.89,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a9-sm-x210-128-gb-silver-outlet,https://storage.irshad.az/products/resized/OPfl2ZBiEycUOpnDbGm6OtME5S34AYlFPASRm42H.webp,1
Apple iPad Air 11' Wi-Fi 128 GB Purple,95680,1429.99,1679.99,-15%,-250 AZN,Stokda var - Məhdud sayda,238.33,119.17,79.44,Planşet,https://irshad.az/az/mehsullar/apple-ipad-air-11-wi-fi-128-gb-purple,https://storage.irshad.az/products/resized/lADwFApnfwBO4BS6nqFo01sMyrXOE5OIfyQ4061m.webp,2
Apple iPad Pro (M4) 13' Wi-Fi 256 GB Space Black,95710,3149.99,3649.99,-14%,-500 AZN,Stokda var - Məhdud sayda,525,262.50,175,Planşet,https://irshad.az/az/mehsullar/apple-ipad-pro-m4-13-wi-fi-256-gb-space-black,https://storage.irshad.az/products/resized/e9jlZ45otgCqwaE9BBSHCWGBAcj7Svcgq0pcjB3u.webp,2
Poco Pad 8 GB / 256 GB Gray,97871,519.99,679.99,-24%,-160 AZN,Stokda var - Məhdud sayda,86.67,43.33,28.89,Planşet,https://irshad.az/az/mehsullar/poco-pad-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/VIioZvXO5hDzr7Fborm3yNAoOG3w0MoavnbLSqM1.webp,2
"HONOR Pad X8a 11"" 4 GB / 64 GB Space Gray",99350,229.99,299.99,-23%,-70 AZN,Stokda var,38.33,19.17,12.78,Planşet,https://irshad.az/az/mehsullar/honor-pad-x8a-11-4-gb-64-gb-space-gray,https://storage.irshad.az/products/resized/wskpEJWONn0vsqQV7jkniM6mSxvd6QTfRzuVWd20.webp,2
"HONOR Pad X8a 11"" 4 GB / 128 GB Space Gray",99352,309.99,399.99,-23%,-90 AZN,Stokda var,51.67,25.83,17.22,Planşet,https://irshad.az/az/mehsullar/honor-pad-x8a-11-4-gb-128-gb-space-gray,https://storage.irshad.az/products/resized/qDooPGNRqEDoSjpdnQqx5yG89oNd9TXpNEzVN33b.webp,2
Samsung Galaxy Tab A9 (SM-X115)  LTE 64 GB Gray,99451,389.99,449.99,-13%,-60 AZN,Stokda var - Məhdud sayda,65,32.50,21.67,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a9-sm-x115-lte-64-gb-gray,https://storage.irshad.az/products/resized/mAR5spOTIrjkJxuZCtw62WcHcIyBPcegEgFgG1Rr.webp,2
Samsung Galaxy Tab S10+ (SM-X826) 12 GB / 256 GB Gray,100190,2219.99,2549.99,-13%,-330 AZN,Stokda var,370,185,123.33,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s10-sm-x826-12-gb-256-gb-gray,https://storage.irshad.az/products/resized/OJMqwAxlCP1YU6KDRTgDaxyiewwyBrn2rhQvo4lX.webp,2
"HONOR Pad X8a 11"" LTE 4 GB / 64 GB Space Gray",100477,269.99,349.99,-23%,-80 AZN,Stokda var,45,22.50,15,Planşet,https://irshad.az/az/mehsullar/honor-pad-x8a-11-lte-4-gb-64-gb-space-gray,https://storage.irshad.az/products/resized/DrK79PoxAK5bAOPI54DpjOoHzthPPRXCbIWtyyYF.webp,2
"HONOR Pad X8a 11"" LTE 4 GB / 128 GB Space Gray",100478,349.99,449.99,-22%,-100 AZN,Stokda var,58.33,29.17,19.44,Planşet,https://irshad.az/az/mehsullar/honor-pad-x8a-11-lte-4-gb-128-gb-space-gray,https://storage.irshad.az/products/resized/hQ9SmMxQ1uyrJJXBxNS9qEy282gGd2T5v2Be1XwZ.webp,3
Apple iPad 11 Wi-Fi (2025) (11th generation) 128 GB Silver,103115,829.99,999.99,-17%,-170 AZN,Stokda var,138.33,69.17,46.11,Planşet,https://irshad.az/az/mehsullar/apple-ipad-11-wi-fi-2025-11th-generation-128-gb-silver,https://storage.irshad.az/products/resized/Rvy9NNemIoz3P227aER5X7FK5mXAKp5rofXJrQUY.webp,3
HONOR Pad V9 8 GB / 256 GB Gray,103399,699.99,899.99,-22%,-200 AZN,Stokda var,116.67,58.33,38.89,Planşet,https://irshad.az/az/mehsullar/honor-pad-v9-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/zOLjoCmumtFOtiQ5JlW77ND26piRb8qNfVEwAUaI.webp,3
HONOR Pad V9 8 GB / 256 GB Gray (Case+Pen),103441,799.99,999.99,-20%,-200 AZN,Stokda var,133.33,66.67,44.44,Planşet,https://irshad.az/az/mehsullar/honor-pad-v9-8-gb-256-gb-gray-casepen,https://storage.irshad.az/products/resized/CZnaTaAVRpbiEy9f6xgCSP7AMFBO66YToPPzDXje.png,3
Xiaomi Pad 7 8 GB / 256 GB Gray,103514,719.99,899.99,-20%,-180 AZN,Stokda var - Məhdud sayda,120,60,40,Planşet,https://irshad.az/az/mehsullar/xiaomi-pad-7-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/j2hIig9lhh7xpBlnw7wo8Y57BVclZWcPpskYmErm.webp,3
Samsung Galaxy Tab S10 FE (SM-X526) 128 GB Silver,103568,949.99,1219.99,-22%,-270 AZN,Stokda var,158.33,79.17,52.78,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s10-fe-sm-x526-128-gb-silver,https://storage.irshad.az/products/resized/cMLnFfp5j9KcBuMrBFdKGoFgEdpaLcqRjemCh3D2.webp,3
Samsung Galaxy Tab S10 Plus FE (SM-X626) 128 GB Gray,103570,1289.99,1519.99,-15%,-230 AZN,Stokda var,215,107.50,71.67,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s10-plus-fe-sm-x626-128-gb-gray,https://storage.irshad.az/products/resized/YIyCalk9Fphy5lWvaOm4rQxhPLoZ6QMmVoR2J6n0.webp,3
HONOR Pad X9a 6 GB/ 128 GB Gray,T0KHICQ,349.99,449.99,-22%,-100 AZN,Stokda var,58.33,29.17,19.44,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9a-6gb-128gb-gray,https://storage.irshad.az/products/resized/Xk2wZSmXYMwekVgyR8uq3JcoOnZgH1RMMcJ9gIXD.png,3
HONOR Pad X9a 8 GB/ 256 GB Gray,DZXVNTD,399.99,499.99,-20%,-100 AZN,Stokda var,66.67,33.33,22.22,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9a-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/Xk2wZSmXYMwekVgyR8uq3JcoOnZgH1RMMcJ9gIXD.png,3
HONOR Pad X9a LTE 6 GB/ 128 GB Gray,5ZJVEXR,399.99,519.99,-23%,-120 AZN,Stokda var - Məhdud sayda,66.67,33.33,22.22,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9a-lte-6-gb-128-gb-gray,https://storage.irshad.az/products/resized/Xk2wZSmXYMwekVgyR8uq3JcoOnZgH1RMMcJ9gIXD.png,4
HONOR Pad X9a LTE 8 GB/ 256 GB Gray,QZ5QLRE,499.99,649.99,-23%,-150 AZN,Stokda var,83.33,41.67,27.78,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9a-lte-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/Xk2wZSmXYMwekVgyR8uq3JcoOnZgH1RMMcJ9gIXD.png,4
HONOR Pad X9a LTE 8 GB/ 256 GB Gray (+Keyboard),UVQHHQT,549.99,699.99,-21%,-150 AZN,Stokda var,91.67,45.83,30.56,Planşet,https://irshad.az/az/mehsullar/honor-pad-x9a-lte-8-gb-256-gb-gray-keyboard,https://storage.irshad.az/products/resized/Xk2wZSmXYMwekVgyR8uq3JcoOnZgH1RMMcJ9gIXD.png,4
Xiaomi Redmi Pad 2 4 GB / 128 GB Graphite Gray,WUAL2CV,289.99,349.99,-17%,-60 AZN,Stokda var,48.33,24.17,16.11,Planşet,https://irshad.az/az/mehsullar/xiaomi-redmi-pad-2-4-gb-128-gb-graphite-gray,https://storage.irshad.az/products/resized/gqWMDaad7hTlz2zPpZxlcKjziVqmaYHZXGQERUvo.png,4
Xiaomi Redmi Pad 2 8 GB / 256 GB Mint Green,46KQ7TZ,369.99,449.99,-18%,-80 AZN,Stokda var,61.67,30.83,20.56,Planşet,https://irshad.az/az/mehsullar/xiaomi-redmi-pad-2-8-gb-256-gb-mint-green,https://storage.irshad.az/products/resized/y4bbp7BIZt4Trz8NfkwA3ntNXF0BTU5WzHvGvcBO.png,4
HONOR Pad 10 8 GB/ 128 GB Gray,B9U3HGT,499.99,649.99,-23%,-150 AZN,Stokda var,83.33,41.67,27.78,Planşet,https://irshad.az/az/mehsullar/honor-pad-10-8-gb-128-gb-gray,https://storage.irshad.az/products/resized/pkWefpLbt1LOYUbqgzuukdqHIOn8kalJsh5deppi.png,4
HONOR Pad 10 8 GB/ 256 GB Gray,NJ4M8FT,589.99,749.99,-21%,-160 AZN,Stokda var,98.33,49.17,32.78,Planşet,https://irshad.az/az/mehsullar/honor-pad-10-8-gb-256-gb-gray,https://storage.irshad.az/products/resized/pkWefpLbt1LOYUbqgzuukdqHIOn8kalJsh5deppi.png,4
HONOR Pad 10 (LTE) 8 GB /256 GB (+Keyboard) Gray,WFQDM9E,749.99,949.99,-21%,-200 AZN,Stokda var,125,62.50,41.67,Planşet,https://irshad.az/az/mehsullar/honor-pad-10-lte-8-gb-256-gb-keyboard-gray,https://storage.irshad.az/products/resized/0kNKaStci3LPGjGiOK7lFqMGq1vwfAVeaKBtC3Ki.png,4
Samsung Galaxy Tab S10 Lite (SM-X400) 128 GB Gray,VAY24LU,649.99,799.99,-19%,-150 AZN,Stokda var,108.33,54.17,36.11,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s10-lite-sm-x400-128-gb-gray,https://storage.irshad.az/products/resized/rNsUOAO1v1uVfRBKx9QRcrkkWz0gpBS8KcmKpBBR.png,4
HONOR Pad X7 4GB/128GB Gray,9MW9UDM,219.99,299.99,-27%,-80 AZN,Stokda var,36.67,18.33,12.22,Planşet,https://irshad.az/az/mehsullar/honor-pad-x7-4gb-128gb-gray,https://storage.irshad.az/products/resized/BBy12LrS9qfBvRohI5Xta5IuOmYhrTGlCcpSWqBD.png,5
HONOR Pad X7 (LTE) 4 GB /128 GB Gray,EJTC6NP,219.99,299.99,-27%,-80 AZN,Stokda var,36.67,18.33,12.22,Planşet,https://irshad.az/az/mehsullar/honor-pad-x7-lte-4-gb-128-gb-gray,https://storage.irshad.az/products/resized/BBy12LrS9qfBvRohI5Xta5IuOmYhrTGlCcpSWqBD.png,5
Samsung Galaxy Tab A11 (SM-X130) 64 GB Gray,NSJMOLN,219.99,279.99,-21%,-60 AZN,Stokda var,36.67,18.33,12.22,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a11-sm-x130-64-gb-gray,https://storage.irshad.az/products/resized/RlCfQ5QRDdpluK5DR6Mtca2iY0yLat4GQxi2fkCX.png,5
Samsung Galaxy Tab A11 (SM-X130) 8 GB / 128 GB Gray,ANPDPUG,269.99,349.99,-23%,-80 AZN,Stokda var,45,22.50,15,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a11-sm-x130-8-gb-128-gb-gray-2,https://storage.irshad.az/products/resized/MIaXeG30PfI2ndhqOR7F6hRvoQJDdQj6IQMugJES.png,5
Samsung Galaxy Tab A11 LTE (SM-X135) 128 GB Gray,J7ZDSDN,339.99,419.99,-19%,-80 AZN,Stokda var - Məhdud sayda,56.67,28.33,18.89,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a11-lte-sm-x135-128-gb-gray,https://storage.irshad.az/products/resized/LX7UsH1RR4G19zqjqJqUzCKXuYmfBczv6ROcnaDK.png,5
Xiaomi Redmi Pad 2 Pro  8 GB / 256 GB Graphite Gray,P741Z0O,589.99,719.99,-18%,-130 AZN,Stokda var,98.33,49.17,32.78,Planşet,https://irshad.az/az/mehsullar/xiaomi-redmi-pad-2-pro-8-gb-256-gb-graphite-gray,https://storage.irshad.az/products/resized/hCqwum2npEDYQxDBMZVZ1AMcvhNNKpM3t8BCQAMc.png,5
Samsung Galaxy Tab A11+ (SM-X230) 128 GB Gray,IJ1BU2O,329.99,419.99,-21%,-90 AZN,Stokda var,55,27.50,18.33,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-a11-sm-x230-128-gb-gray,https://storage.irshad.az/products/resized/13jl2abacX4mCkROh6rzUccXa4zI8B8QxjeA2SZg.png,5
Blackview Link 2 4GB/128G Midnight Black,DTTNGR9,279.99,309.99,-10%,-30 AZN,,46.67,23.33,15.56,Planşet,https://irshad.az/az/mehsullar/blackview-link-2-4gb-128g-midnight-black-2,https://storage.irshad.az/products/resized/9SLZ2wQSIGfja3tfBWBdZXLpndQzOmRCJiEQ4J0v.jpg,5
Blackview Tab 20 WiFi 4GB/64GB Interstellar Grey,WYRJQCM,249.99,289.99,-14%,-40 AZN,,41.67,20.83,13.89,Planşet,https://irshad.az/az/mehsullar/blackview-tab-20-wifi-4gb-64gb-interstellar-grey-2,https://storage.irshad.az/products/resized/Lgf0Pof5vzCTU7wU7rgiu7kMvmjNmFK9GLTkTHpw.jpg,5
Blackview Tab 20 Kids 4GB/64GB Bubble Blue,4JOIMJU,239.99,269.99,-11%,-30 AZN,,40,20,13.33,Planşet,https://irshad.az/az/mehsullar/blackview-tab-20-kids-4gb-64gb-bubble-blue-2,https://storage.irshad.az/products/resized/fSO8szHuN2s5hsxctfDQWeCKQc5R3LOkCLvzqfsP.jpg,6
Blackview Tab 60 Pro Set 8GB/128GB LTE Volcano Grey,FSTE0ED,399.99,449.99,-11%,-50 AZN,,66.67,33.33,22.22,Planşet,https://irshad.az/az/mehsullar/blackview-tab-60-pro-set-8gb-128gb-lte-volcano-grey-2,https://storage.irshad.az/products/resized/pnjQ32uk8ZgePoJJUF9WILBcPXXGNMcdBRpah8CG.jpg,6
Blackview Zeno 1 6GB/256GB LTE Rock Black,ICIBBPH,349.99,399.99,-13%,-50 AZN,,58.33,29.17,19.44,Planşet,https://irshad.az/az/mehsullar/blackview-zeno-1-6gb-256gb-lte-rock-black-2,https://storage.irshad.az/products/resized/GLjOdPRJuvxYi19imaB61kJX4nyBOYAe5klrUi5v.webp,6
Samsung Galaxy Tab S11 (SM-X736) 12/128 GB Gray,N9AIDYO,1799.99,2069.99,-13%,-270 AZN,Stokda var,300,150,100,Planşet,https://irshad.az/az/mehsullar/samsung-galaxy-tab-s11-sm-x736-12-128-gb-gray-2,https://storage.irshad.az/products/resized/rFLYr3iORrnjOVnzLVkvysOqHPNMXQkpki3cAT7r.png,6
