title,product_id,price,region,updated_at,kinds,status,shop_id,url,image_url,batch
"Samsung Galaxy S11 Tab Gray, 128GB/12GB",46622904,1400.0,Lənkəran,2026-02-14T10:49:00+04:00,BUMPED,APPROVED,,https://tap.az/elanlar/elektronika/plansetler/46622904,https://tap.azstatic.com/uploads/thumbnail/2026%2F01%2F10%2F11%2F25%2F15%2F08a6e0c7-ea31-4861-9fcc-c164a2c148cc%2F81033__oBKZYJoeC2LetV4tgr3Dg.jpg,1
Samsung Galaxy Tab S10 Fe 8/128,46411865,700.0,Bakı,2026-02-14T10:44:31+04:00,"BUMPED, VIPPED",APPROVED,Z2lkOi8vdGFwL1Nob3AvMzQ0,https://tap.az/elanlar/elektronika/plansetler/46411865,https://tap.azstatic.com/uploads/thumbnail/2025%2F12%2F17%2F20%2F07%2F09%2F6d57e533-b9db-4b1c-b0fd-a4d73975e6c4%2F47044_q5f8JRcyW1QX3x42FvirCw.jpg,1
Apple iPad 11-inch gen (A16),45337077,700.0,Bakı,2026-02-14T10:42:06+04:00,"BUMPED, VIPPED",APPROVED,Z2lkOi8vdGFwL1Nob3AvMzQ0,https://tap.az/elanlar/elektronika/plansetler/45337077,https://tap.azstatic.com/uploads/thumbnail/2025%2F08%2F01%2F19%2F16%2F23%2F1f9c8fe1-fe4a-4034-a462-ec117cac05ba%2F4513_SdFmiiX51JZHxZnCDO0xMg.jpg,1
Huawei Matebook 12X 256GB,46896659,699.0,Bakı,2026-02-14T10:40:47+04:00,"BUMPED, VIPPED",APPROVED,Z2lkOi8vdGFwL1Nob3AvMjUzMA,https://tap.az/elanlar/elektronika/plansetler/46896659,https://tap.azstatic.com/uploads/thumbnail/2026%2F02%2F12%2F03%2F48%2F26%2F513cc638-7a3e-4740-ab05-0fd832f4043b%2F14622_CQE_KSU2_Tv7xdqjgekrSQ.jpg,1
Apple iPad Mini 6 Space Gray 64GB/4GB,46663936,380.0,Bakı,2026-02-14T10:37:12+04:00,,APPROVED,,https://tap.az/elanlar/elektronika/plansetler/46663936,https://tap.azstatic.com/uploads/thumbnail/2026%2F01%2F14%2F23%2F39%2F02%2Fffb8f5da-91f5-4246-ad0e-3dc9046ff1de%2F81036_tCPyL6Sm0N4jnjjW2tWieQ.jpg,1
Planşet Crelander,46797409,180.0,Bakı,2026-02-14T10:35:23+04:00,BUMPED,APPROVED,,https://tap.az/elanlar/elektronika/plansetler/46797409,https://tap.azstatic.com/uploads/thumbnail/2026%2F02%2F13%2F12%2F18%2F34%2F18ad41f7-171c-4af3-86b9-dd1c6c608647%2F14645_EMgyZGL8E4bN-piinKkwBA.jpg,1
Apple iPad Air M3 11-inch (2025) 128GB Wi-Fi,44775550,1239.0,Bakı,2026-02-14T10:33:22+04:00,BUMPED,APPROVED,Z2lkOi8vdGFwL1Nob3AvMTAwNA,https://tap.az/elanlar/elektronika/plansetler/44775550,https://tap.azstatic.com/uploads/thumbnail/2025%2F05%2F24%2F12%2F38%2F15%2Fd3df6eff-9f6d-46df-8447-3cb70f9ee75c%2F92313_wLbwyJGJi75X1LikQGRJwg.jpg,1
Apple iPad Pro 11,46045997,1979.0,Bakı,2026-02-14T10:33:22+04:00,"BUMPED, PREMIUM, VIPPED",APPROVED,Z2lkOi8vdGFwL1Nob3AvMTAwNA,https://tap.az/elanlar/elektronika/plansetler/46045997,https://tap.azstatic.com/uploads/thumbnail/2025%2F10%2F28%2F20%2F28%2F35%2F24fb777f-2a91-4f4c-a254-5c658635548e%2F89649_IdiJWhN4F5E3SSESYyyqZg.jpg,1
Samsung Galaxy Tab S10 Lite 6/128Gb Gray,46767139,599.0,Bakı,2026-02-14T10:28:28+04:00,"BUMPED, VIPPED",APPROVED,,https://tap.az/elanlar/elektronika/plansetler/46767139,https://tap.azstatic.com/uploads/thumbnail/2026%2F01%2F27%2F15%2F04%2F28%2F7c994729-e798-49be-b62a-14659896f290%2F60604_xCeQglshDV2xziw9vZT6Hw.jpg,1
Samsung Galaxy Tab S10 FE 5G Silver 8GB/128GB,45970237,949.0,Bakı,2026-02-14T10:27:52+04:00,"BUMPED, VIPPED",APPROVED,,https://tap.az/elanlar/elektronika/plansetler/45970237,https://tap.azstatic.com/uploads/thumbnail/2025%2F10%2F19%2F13%2F05%2F16%2Ff30cb2a5-1a14-4b79-85a2-825d025267cc%2F37302_ksBAd98Yipnr_0BzNr1yHg.jpg,1
