name,product_id,price_current,price_old,discount_pct,in_stock,labels,url,image_url,page
"Planşet Blackview Tab 60 Pro 10.1"" 8/128GB Green",6244,399.90,474.90,-16%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-blackview-tab-60-pro-10-1-quot-8-128gb-green-plansetler-tabletler-blackview-planset-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/14.10.2025/3j9qbzf8ce12dm6ybffokteyh2umogrjiix7xgdm-500x500.jpg,1
Planşet Blackview Tab 90 8/128GB Grey,5396,289.90,414.90,-30%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-blackview-tab-90-8-128gb-grey-plansetler-tabletler-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/21.08.2025/tab90-gray01-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
Planşet Blackview Tab 90 8/128GB Blue,5388,289.90,414.90,-30%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-blackview-tab-90-8-128gb-blue-plansetler-tabletler-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/21.08.2025/tm-dg-tbq-1105-tb-06611-8353b024-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
Planşet Xiaomi Redmi Pad 2 8/256GB Graphite Gray,5218,399.90,509.90,-22%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-xiaomi-redmi-pad-2-8-256gb-graphite-gray-plansetler-tabletler-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/14.08.2025/gqwmdaad7htlz2zppzxlckjzivqmayhzxgqeruvo-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
Planşet Xiaomi Redmi Pad 2 8/256GB Lavender Purple,5212,399.90,509.90,-22%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-xiaomi-redmi-pad-2-8-256gb-lavender-purple-plansetler-tabletler-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/14.08.2025/tm-dg-tbq-1105-tb-07651-6cd9375b-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
"Qrafik planşet Xiaomi Mi LCD Writing Tablet 13,5'' (Color edition)",4665,49.90,59.90,-17%,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/qrafik-planset-xiaomi-mi-lcd-writing-tablet-13-5-color-edition-xiaomi-tablet-smart-texnikalar-yazi-tableti-texnohome-azda,https://texnohome.az/image/cache/catalog/07.07.2025/bhr4245gla-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
Planşet Lenovo Tab M11 TB330FU 4/128 Luna Grey,7200,0.00,,Stokda yoxdur,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planşet-lenovo-tab-m11-tb330fu-4128-luna-grey,https://texnohome.az/image/cache/catalog/13.02.2026/tm-dg-tbq-1105-tb-07511-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
"Planşet Lenovo Tab M11 TB330FU/ 11"" WUXGA",6445,429.90,559.90,Stokda yoxdur,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-desktop-lenovo-tab-m11-tb330fu-11-quot-wuxga-texno-home,https://texnohome.az/image/cache/catalog/28.10.2025/6119cbab-ee3d-4041-91ae-12ff396b99c4-1-500x500.jpeg,1
Masa kompüterləri Desktop HP Pro Tower 290 G9 (936J7EA),6373,0.00,,Stokda yoxdur,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/masa-komputerleri-lenovo-tab-m11-tb330fu-texno-home,https://texnohome.az/image/cache/catalog/25.10.2025/6119cbab-ee3d-4041-91ae-12ff396b99c4-500x500.jpeg,1
Planşet Lenovo Tab M11 TB330XU,5804,519.90,669.90,Stokda yoxdur,False,"Faizsiz təklif; Ucuz tapsan, endirimlə al",https://texnohome.az/planset-lenovo-tab-m11-tb330xu-plansetler-tabletler-smart-texnikalar-texnohome-azda,https://texnohome.az/image/cache/catalog/15.09.2025/9698594d-f3a6-4ea0-87f3-274b8b3959f5-ezgifcom-webp-to-jpg-converter-500x500.jpg,1
